temperature,humidity,pressure,wind_speed,rain,next_temperature
18,45,1025,2.1,0,19
20,50,1022,2.5,0,21
22,55,1018,3.0,0,22
24,60,1015,3.2,0,25
26,65,1012,4.0,0,27
28,70,1008,4.5,0,27
30,75,1005,5.0,0,29
32,80,1002,5.5,1,30
25,85,998,6.0,1,23
23,90,995,7.0,1,21
21,88,997,5.8,1,20
19,82,999,4.8,1,18
27,68,1010,3.5,0,28
29,72,1007,4.2,1,28
31,78,1004,5.1,1,29
25,62,1016,2.8,0,26
22,58,1020,2.3,0,23
20,52,1024,1.9,0,21
17,48,1027,1.5,0,18
33,83,1000,6.5,1,30
35,86,996,7.2,1,31
30,81,1001,5.9,1,28
28,76,1006,4.7,1,27
24,67,1013,3.1,0,25
26,64,1017,2.9,0,27
29,69,1011,3.8,0,29
32,74,1009,4.9,1,30
23,61,1019,2.6,0,24
21,73,1003,5.2,1,20
27,79,1005,5.7,1,26
